Epoch,Phase,Train_Loss,Train_MSE,Train_L1,Temperature,LR_Backbone,LR_WeightNet,Val_RMSE,Val_MAE,Val_MAPE,Val_Pearson_R
1,Phase1,0.20512072795203753,0.2051187264067786,0.2000000008514949,5.0,9.99938933078422e-05,6.168375916961648e-11,5477.805,3852.7383,56.848896,0.05500444271032518
2,Phase1,0.04273666335003717,0.04273466286914689,0.2000000008514949,4.9755,2.4671981713414196e-10,1.850474723882462e-10,5477.8037,3852.7368,56.848866,0.055004470087727526
3,Phase1,0.04081867262721062,0.04081667214632034,0.2000000008514949,4.951,4.934091951792125e-10,3.0841879490935813e-10,5477.7676,3852.7,56.848263,0.055005083572186704
4,Phase1,0.0409412644803524,0.04093926399946213,0.2000000008514949,4.9265,7.400985657127948e-10,4.318129500330203e-10,5477.6304,3852.5637,56.846,0.05500721079823514
5,Phase1,0.042242251336574554,0.04224025085568428,0.2000000008514949,4.902,9.868183603059078e-10,5.552451723286506e-10,5477.4365,3852.3691,56.842716,0.05501036265978713
6,Phase1,0.04012434450643403,0.04012234402554376,0.2000000008514949,4.8775,1.2335990255398409e-09,6.78730715164081e-10,5476.905,3851.8274,56.833492,0.05501885179432857
7,Phase1,0.04298144206404686,0.042979441583156586,0.2000000008514949,4.853,1.4804710380382366e-09,8.02284858249656e-10,5476.2646,3851.1877,56.822838,0.055028973457619396
8,Phase1,0.04296775481530598,0.04296575486660004,0.2000000008514949,4.8285,1.7274649195309358e-09,9.25922915216002e-10,5475.52,3850.457,56.81058,0.055040294129090575
9,Phase1,0.04071325995028019,0.040711259469389915,0.2000000008514949,4.804,1.974611251965893e-09,1.0496602412203823e-09,5474.699,3849.6538,56.79727,0.05505215611223574
10,Phase1,0.041842719806092124,0.04184071932520185,0.2000000008514949,4.7795,2.221940692681653e-09,1.1735122406028166e-09,5473.8,3848.7732,56.782555,0.055065328949738875
11,Phase1,0.04169249747480665,0.04169049699391637,0.2000000008514949,4.755,2.4694839896638977e-09,1.2974943745917516e-09,5472.814,3847.8154,56.76688,0.0550796891640331
12,Phase1,0.04104152587907655,0.041039525398186276,0.2000000008514949,4.7305,2.7172719968926244e-09,1.4216221690679646e-09,5471.745,3846.765,56.749706,0.05509595334847407
13,Phase1,0.041404192468949726,0.04140219198805945,0.2000000008514949,4.706,2.9653356898032485e-09,1.5459112224004655e-09,5470.4663,3845.4949,56.729816,0.055115389156379944
14,Phase1,0.03930437431803772,0.03930237383714744,0.19999999872275762,4.6815,3.2137061808773053e-09,1.670377213356514e-09,5469.0107,3844.0305,56.70643,0.05513829999602132
15,Phase1,0.04071105324796268,0.04070905276707241,0.2000000008514949,4.657,3.462414735375874e-09,1.795035909099093e-09,5467.4365,3842.4995,56.68189,0.05516177778291353
16,Phase1,0.040879186508910995,0.04087718602802072,0.2000000008514949,4.6325,3.711492787237117e-09,1.9199031732758613e-09,5465.7803,3840.886,56.655132,0.05518774604112493
17,Phase1,0.03936091384717396,0.039358913366283686,0.2000000008514949,4.608,3.9609719551508454e-09,2.044994974215256e-09,5464.049,3839.2126,56.627758,0.05521564139282429
18,Phase1,0.04204962322754519,0.04204762274665492,0.2000000008514949,4.5835,4.210884058835107e-09,2.17032739323144e-09,5462.2676,3837.46,56.597538,0.05524656537301193
19,Phase1,0.042223372629710605,0.04222137214882033,0.2000000008514949,4.559,4.461261135522409e-09,2.295916633052277e-09,5460.3975,3835.601,56.565582,0.055279480709147066
20,Phase1,0.043964763305016925,0.04396276335631098,0.2000000008514949,4.5344999999999995,4.712135456682693e-09,2.4217790263786036e-09,5458.3877,3833.6565,56.532646,0.055311927837345384
21,Phase1,0.04055827909282276,0.040556278611932485,0.2000000008514949,4.51,4.9635395449991426e-09,2.5479310445851593e-09,5456.171,3831.5435,56.49851,0.055345058846865254
22,Phase1,0.040917517617344856,0.04091551713645458,0.2000000008514949,4.4855,5.2155061916150454e-09,2.6743893065695425e-09,5453.8257,3829.2842,56.46107,0.05538277213607742
23,Phase1,0.042771607105221064,0.04276960662433079,0.2000000008514949,4.461,5.4680684736711886e-09,2.801170587767393e-09,5451.359,3826.8892,56.421707,0.05542180270132236
24,Phase1,0.04188706965318748,0.04188506917229721,0.2000000008514949,4.4365,5.7212597721585586e-09,2.9282918293359226e-09,5448.8003,3824.407,56.380486,0.055461163247867915
25,Phase1,0.04234291985630989,0.04234091937541962,0.2000000008514949,4.412,5.9751137901013865e-09,3.0557701475206185e-09,5446.1465,3821.8474,56.338547,0.055502123743419896
26,Phase1,0.04047525328184877,0.040473252800958495,0.2000000008514949,4.3875,6.229664571095099e-09,3.1836228432197266e-09,5443.413,3819.2014,56.294746,0.05554402901396083
27,Phase1,0.04060556846005576,0.040603567979165485,0.2000000008514949,4.3629999999999995,6.484946518224165e-09,3.311867411750118e-09,5440.5615,3816.4246,56.24825,0.055589573997047226
28,Phase1,0.03975611525986876,0.039754114778978486,0.19999999872275762,4.3385,6.740994413375926e-09,3.4405215528359256e-09,5437.541,3813.5393,56.19983,0.055638772819343735
29,Phase1,0.04290701715009553,0.04290501666920526,0.2000000008514949,4.314,6.997843436982187e-09,3.5696031808248193e-09,5434.3887,3810.5254,56.150185,0.055690112872413676
30,Phase1,0.04139132345361369,0.041389323504907746,0.2000000008514949,4.2895,7.255529188206123e-09,3.6991304351488638e-09,5431.1426,3807.376,56.096737,0.05574367357387107
31,Phase1,0.041179795882531574,0.0411777954016413,0.2000000008514949,4.265,7.514087705605016e-09,3.8291216910432964e-09,5427.8,3804.1365,56.041687,0.05580057897991131
32,Phase1,0.03828085160681179,0.03827885112592152,0.2000000008514949,4.2405,7.773555488294008e-09,3.959595570537627e-09,5424.34,3800.7725,55.985462,0.055859383914203205
33,Phase1,0.04227491335145065,0.04227291287056038,0.2000000008514949,4.216,8.033969517635649e-09,4.090570953727529e-09,5420.7866,3797.3066,55.927437,0.055919155182414755
