fiscal_week,passenger_2023,season_2023,season_cn_2023,week_start,week_end,passenger_2024,season_2024,season_cn_2024,is_consistent
1,4901.708333333333,2,旺季,10-01,10-07,5025.714285714285,2,旺季,True
2,1133.4107142857142,0,淡季,10-08,10-14,1125.7738095238096,0,淡季,True
3,1027.2916666666667,0,淡季,10-15,10-21,1026.1904761904761,0,淡季,True
4,1216.8690476190477,0,淡季,10-22,10-28,1223.4880952380952,0,淡季,True
5,946.3630952380952,0,淡季,10-29,11-04,949.5238095238095,0,淡季,True
6,879.1904761904761,0,淡季,11-05,11-11,879.5952380952381,0,淡季,True
7,806.6488095238095,0,淡季,11-12,11-18,810.1428571428571,0,淡季,True
8,689.0357142857143,0,淡季,11-19,11-25,687.5833333333334,0,淡季,True
9,718.1845238095239,0,淡季,11-26,12-02,727.4761904761905,0,淡季,True
10,774.0952380952381,0,淡季,12-03,12-09,780.952380952381,0,淡季,True
11,807.0416666666666,0,淡季,12-10,12-16,816.9404761904761,0,淡季,True
12,788.0357142857143,0,淡季,12-17,12-23,794.297619047619,0,淡季,True
13,569.764880952381,0,淡季,12-24,12-30,521.5119047619048,0,淡季,True
14,597.7619047619048,0,淡季,12-31,01-06,554.1130952380952,0,淡季,True
15,490.125,0,淡季,01-07,01-13,493.3333333333333,0,淡季,True
16,553.172619047619,0,淡季,01-14,01-20,555.3809523809524,0,淡季,True
17,543.4642857142857,0,淡季,01-21,01-27,528.1071428571429,0,淡季,True
18,766.4880952380952,0,淡季,01-28,02-03,1325.7142857142858,0,淡季,True
19,718.5535714285714,0,淡季,02-04,02-10,743.9702380952381,0,淡季,True
20,1283.1011904761904,0,淡季,02-11,02-17,717.2261904761905,0,淡季,True
21,690.9642857142857,0,淡季,02-18,02-24,696.952380952381,0,淡季,True
22,752.1517857142857,0,淡季,02-25,03-02,762.6785714285714,0,淡季,True
23,767.5654761904761,0,淡季,03-03,03-09,780.8809523809524,0,淡季,True
24,888.5,0,淡季,03-10,03-16,895.6071428571429,0,淡季,True
25,1053.875,0,淡季,03-17,03-23,1058.5357142857142,0,淡季,True
26,995.375,0,淡季,03-24,03-30,982.5238095238095,0,淡季,True
27,1566.3154761904761,0,淡季,03-31,04-06,1517.2619047619048,0,淡季,True
28,821.8630952380952,0,淡季,04-07,04-13,770.5,0,淡季,True
29,1178.6964285714287,0,淡季,04-14,04-20,1187.047619047619,0,淡季,True
30,1231.1666666666667,0,淡季,04-21,04-27,1225.75,0,淡季,True
31,3316.6428571428573,1,平季,04-28,05-04,3552.6726190476193,1,平季,True
32,1545.1011904761904,0,淡季,05-05,05-11,1430.6190476190477,0,淡季,True
33,1549.9761904761904,0,淡季,05-12,05-18,1540.0833333333333,0,淡季,True
34,1516.4583333333333,0,淡季,05-19,05-25,1530.8333333333333,0,淡季,True
35,2036.0416666666667,1,平季,05-26,06-01,2797.595238095238,1,平季,True
36,2110.7559523809523,1,平季,06-02,06-08,1947.047619047619,1,平季,True
37,2311.1011904761904,1,平季,06-09,06-15,1885.5238095238096,1,平季,True
38,2047.3214285714287,1,平季,06-16,06-22,2076.464285714286,1,平季,True
39,2171.6190476190477,1,平季,06-23,06-29,2188.8333333333335,1,平季,True
40,2649.2916666666665,1,平季,06-30,07-06,2701.2261904761904,1,平季,True
41,2599.3809523809523,1,平季,07-07,07-13,2540.809523809524,1,平季,True
42,3398.214285714286,1,平季,07-14,07-20,3390.3809523809523,1,平季,True
43,3458.904761904762,1,平季,07-21,07-27,3458.75,1,平季,True
44,4191.101190476191,2,旺季,07-28,08-03,4297.964285714285,2,旺季,True
45,5374.648809523809,2,旺季,08-04,08-10,5392.952380952381,2,旺季,True
46,4886.297619047619,2,旺季,08-11,08-17,5077.761904761905,2,旺季,True
47,4235.910714285715,2,旺季,08-18,08-24,4259.690476190476,2,旺季,True
48,2855.375,1,平季,08-25,08-31,2914.7738095238096,1,平季,True
49,2656.0714285714284,1,平季,09-01,09-07,2684.4166666666665,1,平季,True
50,2641.5714285714284,1,平季,09-08,09-14,2668.7619047619046,1,平季,True
51,2981.2380952380954,1,平季,09-15,09-21,2252.7380952380954,1,平季,True
52,1259.8134715025906,0,平季,09-22,09-28,2283.076923076923,1,平季,True
