fiscal_week,passenger_2023,season_2023,season_cn_2023,week_start,week_end,passenger_2024,season_2024,season_cn_2024,is_consistent
1,29723.14285714286,2,旺季,10-01,10-07,29944.285714285714,2,旺季,True
2,6598.142857142857,0,淡季,10-08,10-14,6494.571428571428,0,淡季,True
3,5677.571428571428,0,淡季,10-15,10-21,5863.714285714285,0,淡季,True
4,6781.428571428572,0,淡季,10-22,10-28,6790.285714285715,0,淡季,True
5,5415.714285714285,0,淡季,10-29,11-04,5472.857142857143,0,淡季,True
6,5035.285714285715,0,淡季,11-05,11-11,5124.0,0,淡季,True
7,4549.857142857143,0,淡季,11-12,11-18,4615.714285714285,0,淡季,True
8,3578.285714285714,0,淡季,11-19,11-25,3753.714285714286,0,淡季,True
9,4084.0,0,淡季,11-26,12-02,4081.714285714286,0,淡季,True
10,4473.0,0,淡季,12-03,12-09,4349.714285714285,0,淡季,True
11,4011.714285714286,0,淡季,12-10,12-16,3940.285714285714,0,淡季,True
12,3601.0,0,淡季,12-17,12-23,3781.1428571428573,0,淡季,True
13,2480.5714285714284,0,淡季,12-24,12-30,2264.8571428571427,0,淡季,True
14,2693.1428571428573,0,淡季,12-31,01-06,2450.0,0,淡季,True
15,2180.1428571428573,0,淡季,01-07,01-13,2196.5714285714284,0,淡季,True
16,2369.714285714286,0,淡季,01-14,01-20,2424.8571428571427,0,淡季,True
17,2187.0,0,淡季,01-21,01-27,2138.0,0,淡季,True
18,2892.1428571428573,0,淡季,01-28,02-03,5224.285714285715,0,淡季,True
19,2781.714285714286,0,淡季,02-04,02-10,2860.285714285714,0,淡季,True
20,4945.0,0,淡季,02-11,02-17,2784.0,0,淡季,True
21,2576.285714285714,0,淡季,02-18,02-24,2681.714285714286,0,淡季,True
22,2969.4285714285716,0,淡季,02-25,03-02,2939.4285714285716,0,淡季,True
23,3011.8571428571427,0,淡季,03-03,03-09,3046.8571428571427,0,淡季,True
24,3447.714285714286,0,淡季,03-10,03-16,3493.714285714286,0,淡季,True
25,4134.714285714285,0,淡季,03-17,03-23,4153.142857142857,0,淡季,True
26,3746.285714285714,0,淡季,03-24,03-30,3857.1428571428573,0,淡季,True
27,6429.857142857143,0,淡季,03-31,04-06,5988.0,0,淡季,True
28,3126.8571428571427,0,淡季,04-07,04-13,2966.8571428571427,0,淡季,True
29,4547.571428571428,0,淡季,04-14,04-20,4704.0,0,淡季,True
30,4884.428571428572,0,淡季,04-21,04-27,4862.285714285715,0,淡季,True
31,12885.857142857143,1,平季,04-28,05-04,14448.57142857143,1,平季,True
32,6319.142857142857,0,淡季,05-05,05-11,5711.428571428572,0,淡季,True
33,6373.142857142857,0,淡季,05-12,05-18,6155.428571428572,0,淡季,True
34,5874.285714285715,0,淡季,05-19,05-25,6092.0,0,淡季,True
35,8033.857142857143,1,平季,05-26,06-01,11254.57142857143,1,平季,True
36,8665.714285714286,1,平季,06-02,06-08,7818.285714285715,1,平季,True
37,9449.857142857143,1,平季,06-09,06-15,7580.571428571428,1,平季,True
38,8399.714285714286,1,平季,06-16,06-22,8387.42857142857,1,平季,True
39,8980.714285714286,1,平季,06-23,06-29,8826.857142857143,1,平季,True
40,11220.142857142857,1,平季,06-30,07-06,11001.714285714286,1,平季,True
41,10416.857142857143,1,平季,07-07,07-13,10265.142857142857,1,平季,True
42,14097.42857142857,1,平季,07-14,07-20,13791.42857142857,1,平季,True
43,13980.42857142857,1,平季,07-21,07-27,14062.285714285714,1,平季,True
44,17258.85714285714,2,旺季,07-28,08-03,17568.0,2,旺季,True
45,21783.571428571428,2,旺季,08-04,08-10,22072.571428571428,2,旺季,True
46,22731.285714285714,2,旺季,08-11,08-17,22802.285714285714,2,旺季,True
47,17345.0,2,旺季,08-18,08-24,17650.285714285714,2,旺季,True
48,11313.0,1,平季,08-25,08-31,11714.857142857143,1,平季,True
49,10455.857142857143,1,平季,09-01,09-07,10761.142857142857,1,平季,True
50,10549.57142857143,1,平季,09-08,09-14,10749.142857142857,1,平季,True
51,12265.57142857143,1,平季,09-15,09-21,8986.285714285714,1,平季,True
52,7207.777777777777,0,淡季,09-22,09-30,9344.5,1,平季,False
