fiscal_week,avg_passenger,fiscal_year,fiscal_label,week_start,week_end,days_in_week
1,29723.14285714286,2023,FY2023-2024,10-01,10-07,7
2,6598.142857142857,2023,FY2023-2024,10-08,10-14,7
3,5677.571428571428,2023,FY2023-2024,10-15,10-21,7
4,6781.428571428572,2023,FY2023-2024,10-22,10-28,7
5,5415.714285714285,2023,FY2023-2024,10-29,11-04,7
6,5035.285714285715,2023,FY2023-2024,11-05,11-11,7
7,4549.857142857143,2023,FY2023-2024,11-12,11-18,7
8,3578.285714285714,2023,FY2023-2024,11-19,11-25,7
9,4084.0,2023,FY2023-2024,11-26,12-02,7
10,4473.0,2023,FY2023-2024,12-03,12-09,7
11,4011.714285714286,2023,FY2023-2024,12-10,12-16,7
12,3601.0,2023,FY2023-2024,12-17,12-23,7
13,2480.5714285714284,2023,FY2023-2024,12-24,12-30,7
14,2693.1428571428573,2023,FY2023-2024,12-31,01-06,7
15,2180.1428571428573,2023,FY2023-2024,01-07,01-13,7
16,2369.714285714286,2023,FY2023-2024,01-14,01-20,7
17,2187.0,2023,FY2023-2024,01-21,01-27,7
18,2892.1428571428573,2023,FY2023-2024,01-28,02-03,7
19,2781.714285714286,2023,FY2023-2024,02-04,02-10,7
20,4945.0,2023,FY2023-2024,02-11,02-17,7
21,2576.285714285714,2023,FY2023-2024,02-18,02-24,7
22,2969.4285714285716,2023,FY2023-2024,02-25,03-02,7
23,3011.8571428571427,2023,FY2023-2024,03-03,03-09,7
24,3447.714285714286,2023,FY2023-2024,03-10,03-16,7
25,4134.714285714285,2023,FY2023-2024,03-17,03-23,7
26,3746.285714285714,2023,FY2023-2024,03-24,03-30,7
27,6429.857142857143,2023,FY2023-2024,03-31,04-06,7
28,3126.8571428571427,2023,FY2023-2024,04-07,04-13,7
29,4547.571428571428,2023,FY2023-2024,04-14,04-20,7
30,4884.428571428572,2023,FY2023-2024,04-21,04-27,7
31,12885.857142857143,2023,FY2023-2024,04-28,05-04,7
32,6319.142857142857,2023,FY2023-2024,05-05,05-11,7
33,6373.142857142857,2023,FY2023-2024,05-12,05-18,7
34,5874.285714285715,2023,FY2023-2024,05-19,05-25,7
35,8033.857142857143,2023,FY2023-2024,05-26,06-01,7
36,8665.714285714286,2023,FY2023-2024,06-02,06-08,7
37,9449.857142857143,2023,FY2023-2024,06-09,06-15,7
38,8399.714285714286,2023,FY2023-2024,06-16,06-22,7
39,8980.714285714286,2023,FY2023-2024,06-23,06-29,7
40,11220.142857142857,2023,FY2023-2024,06-30,07-06,7
41,10416.857142857143,2023,FY2023-2024,07-07,07-13,7
42,14097.42857142857,2023,FY2023-2024,07-14,07-20,7
43,13980.42857142857,2023,FY2023-2024,07-21,07-27,7
44,17258.85714285714,2023,FY2023-2024,07-28,08-03,7
45,21783.571428571428,2023,FY2023-2024,08-04,08-10,7
46,22731.285714285714,2023,FY2023-2024,08-11,08-17,7
47,17345.0,2023,FY2023-2024,08-18,08-24,7
48,11313.0,2023,FY2023-2024,08-25,08-31,7
49,10455.857142857143,2023,FY2023-2024,09-01,09-07,7
50,10549.57142857143,2023,FY2023-2024,09-08,09-14,7
51,12265.57142857143,2023,FY2023-2024,09-15,09-21,7
52,7207.777777777777,2023,FY2023-2024,09-22,09-30,8
1,29944.285714285714,2024,FY2024-2025,10-01,10-07,7
2,6494.571428571428,2024,FY2024-2025,10-08,10-14,7
3,5863.714285714285,2024,FY2024-2025,10-15,10-21,7
4,6790.285714285715,2024,FY2024-2025,10-22,10-28,7
5,5472.857142857143,2024,FY2024-2025,10-29,11-04,7
6,5124.0,2024,FY2024-2025,11-05,11-11,7
7,4615.714285714285,2024,FY2024-2025,11-12,11-18,7
8,3753.714285714286,2024,FY2024-2025,11-19,11-25,7
9,4081.714285714286,2024,FY2024-2025,11-26,12-02,7
10,4349.714285714285,2024,FY2024-2025,12-03,12-09,7
11,3940.285714285714,2024,FY2024-2025,12-10,12-16,7
12,3781.1428571428573,2024,FY2024-2025,12-17,12-23,7
13,2264.8571428571427,2024,FY2024-2025,12-24,12-30,7
14,2450.0,2024,FY2024-2025,12-31,01-06,7
15,2196.5714285714284,2024,FY2024-2025,01-07,01-13,7
16,2424.8571428571427,2024,FY2024-2025,01-14,01-20,7
17,2138.0,2024,FY2024-2025,01-21,01-27,7
18,5224.285714285715,2024,FY2024-2025,01-28,02-03,7
19,2860.285714285714,2024,FY2024-2025,02-04,02-10,7
20,2784.0,2024,FY2024-2025,02-11,02-17,7
21,2681.714285714286,2024,FY2024-2025,02-18,02-24,7
22,2939.4285714285716,2024,FY2024-2025,02-25,03-03,7
23,3046.8571428571427,2024,FY2024-2025,03-04,03-10,7
24,3493.714285714286,2024,FY2024-2025,03-11,03-17,7
25,4153.142857142857,2024,FY2024-2025,03-18,03-24,7
26,3857.1428571428573,2024,FY2024-2025,03-25,03-31,7
27,5988.0,2024,FY2024-2025,04-01,04-07,7
28,2966.8571428571427,2024,FY2024-2025,04-08,04-14,7
29,4704.0,2024,FY2024-2025,04-15,04-21,7
30,4862.285714285715,2024,FY2024-2025,04-22,04-28,7
31,14448.57142857143,2024,FY2024-2025,04-29,05-05,7
32,5711.428571428572,2024,FY2024-2025,05-06,05-12,7
33,6155.428571428572,2024,FY2024-2025,05-13,05-19,7
34,6092.0,2024,FY2024-2025,05-20,05-26,7
35,11254.57142857143,2024,FY2024-2025,05-27,06-02,7
36,7818.285714285715,2024,FY2024-2025,06-03,06-09,7
37,7580.571428571428,2024,FY2024-2025,06-10,06-16,7
38,8387.42857142857,2024,FY2024-2025,06-17,06-23,7
39,8826.857142857143,2024,FY2024-2025,06-24,06-30,7
40,11001.714285714286,2024,FY2024-2025,07-01,07-07,7
41,10265.142857142857,2024,FY2024-2025,07-08,07-14,7
42,13791.42857142857,2024,FY2024-2025,07-15,07-21,7
43,14062.285714285714,2024,FY2024-2025,07-22,07-28,7
44,17568.0,2024,FY2024-2025,07-29,08-04,7
45,22072.571428571428,2024,FY2024-2025,08-05,08-11,7
46,22802.285714285714,2024,FY2024-2025,08-12,08-18,7
47,17650.285714285714,2024,FY2024-2025,08-19,08-25,7
48,11714.857142857143,2024,FY2024-2025,08-26,09-01,7
49,10761.142857142857,2024,FY2024-2025,09-02,09-08,7
50,10749.142857142857,2024,FY2024-2025,09-09,09-15,7
51,8986.285714285714,2024,FY2024-2025,09-16,09-22,7
52,9344.5,2024,FY2024-2025,09-23,09-30,9
