fiscal_week,passenger_2023,season_2023,season_cn_2023,week_start,week_end,passenger_2024,season_2024,season_cn_2024,is_consistent,review_note
1,16876.85714285714,1,平季,10-01,10-07,11660.857142857143,2,旺季,False,
5,15803.142857142857,1,平季,10-29,11-04,3335.8571428571427,0,淡季,False,
6,15597.42857142857,1,平季,11-05,11-11,3439.714285714286,0,淡季,False,
7,15558.42857142857,1,平季,11-12,11-18,3262.1428571428573,0,淡季,False,
8,11568.57142857143,1,平季,11-19,11-25,2842.5714285714284,0,淡季,False,
29,7017.0,0,淡季,04-14,04-20,5462.285714285715,1,平季,False,
30,7226.714285714285,0,淡季,04-21,04-27,5612.857142857143,1,平季,False,
31,17936.14285714286,1,平季,04-28,05-04,12102.0,2,旺季,False,
32,10318.714285714286,0,淡季,05-05,05-11,5723.142857142857,1,平季,False,
40,20335.285714285714,1,平季,06-30,07-06,10502.857142857143,2,旺季,False,
50,9991.714285714286,0,淡季,09-08,09-14,7649.428571428572,1,平季,False,
52,9352.555555555555,0,淡季,09-22,09-30,7536.0,1,平季,False,
