fiscal_week,passenger_2023,season_2023,season_cn_2023,week_start,week_end,passenger_2024,season_2024,season_cn_2024,is_consistent
1,16876.85714285714,1,平季,10-01,10-07,11660.857142857143,2,旺季,False
2,4460.857142857143,0,淡季,10-08,10-14,3744.285714285714,0,淡季,True
3,3468.714285714286,0,淡季,10-15,10-21,3740.4285714285716,0,淡季,True
4,8700.857142857143,0,淡季,10-22,10-28,3320.5714285714284,0,淡季,True
5,15803.142857142857,1,平季,10-29,11-04,3335.8571428571427,0,淡季,False
6,15597.42857142857,1,平季,11-05,11-11,3439.714285714286,0,淡季,False
7,15558.42857142857,1,平季,11-12,11-18,3262.1428571428573,0,淡季,False
8,11568.57142857143,1,平季,11-19,11-25,2842.5714285714284,0,淡季,False
9,6182.714285714285,0,淡季,11-26,12-02,2782.5714285714284,0,淡季,True
10,6245.0,0,淡季,12-03,12-09,2846.4285714285716,0,淡季,True
11,4357.428571428572,0,淡季,12-10,12-16,2682.5714285714284,0,淡季,True
12,5747.714285714285,0,淡季,12-17,12-23,2591.4285714285716,0,淡季,True
13,6446.428571428572,0,淡季,12-24,12-30,2356.0,0,淡季,True
14,6296.857142857143,0,淡季,12-31,01-06,2409.714285714286,0,淡季,True
15,6883.714285714285,0,淡季,01-07,01-13,2347.285714285714,0,淡季,True
16,6207.571428571428,0,淡季,01-14,01-20,2364.714285714286,0,淡季,True
17,7309.142857142857,0,淡季,01-21,01-27,1777.2857142857142,0,淡季,True
18,7261.285714285715,0,淡季,01-28,02-03,2484.5714285714284,0,淡季,True
19,5111.428571428572,0,淡季,02-04,02-10,2720.5714285714284,0,淡季,True
20,8098.428571428572,0,淡季,02-11,02-17,3067.714285714286,0,淡季,True
21,6026.571428571428,0,淡季,02-18,02-24,3420.0,0,淡季,True
22,6854.142857142857,0,淡季,02-25,03-02,3029.4285714285716,0,淡季,True
23,6046.428571428572,0,淡季,03-03,03-09,3272.5714285714284,0,淡季,True
24,6876.285714285715,0,淡季,03-10,03-16,3498.5714285714284,0,淡季,True
25,7490.285714285715,0,淡季,03-17,03-23,3915.714285714286,0,淡季,True
26,7004.571428571428,0,淡季,03-24,03-30,3952.8571428571427,0,淡季,True
27,8761.857142857143,0,淡季,03-31,04-06,5170.0,0,淡季,True
28,7402.142857142857,0,淡季,04-07,04-13,3392.8571428571427,0,淡季,True
29,7017.0,0,淡季,04-14,04-20,5462.285714285715,1,平季,False
30,7226.714285714285,0,淡季,04-21,04-27,5612.857142857143,1,平季,False
31,17936.14285714286,1,平季,04-28,05-04,12102.0,2,旺季,False
32,10318.714285714286,0,淡季,05-05,05-11,5723.142857142857,1,平季,False
33,14816.714285714286,1,平季,05-12,05-18,6387.428571428572,1,平季,True
34,14525.0,1,平季,05-19,05-25,6480.285714285715,1,平季,True
35,14267.42857142857,1,平季,05-26,06-01,8513.42857142857,1,平季,True
36,14715.57142857143,1,平季,06-02,06-08,7683.428571428572,1,平季,True
37,16725.14285714286,1,平季,06-09,06-15,7555.142857142857,1,平季,True
38,16554.0,1,平季,06-16,06-22,8455.714285714286,1,平季,True
39,18200.571428571428,1,平季,06-23,06-29,8748.285714285714,1,平季,True
40,20335.285714285714,1,平季,06-30,07-06,10502.857142857143,2,旺季,False
41,19927.85714285714,1,平季,07-07,07-13,10013.42857142857,1,平季,True
42,23892.85714285714,2,旺季,07-14,07-20,12443.42857142857,2,旺季,True
43,23592.571428571428,2,旺季,07-21,07-27,11225.142857142857,2,旺季,True
44,26710.571428571428,2,旺季,07-28,08-03,14108.285714285714,2,旺季,True
45,32389.285714285714,2,旺季,08-04,08-10,16584.85714285714,2,旺季,True
46,33364.857142857145,2,旺季,08-11,08-17,16185.714285714286,2,旺季,True
47,27001.714285714286,2,旺季,08-18,08-24,13948.285714285714,2,旺季,True
48,17156.428571428572,1,平季,08-25,08-31,8756.57142857143,1,平季,True
49,12816.57142857143,1,平季,09-01,09-07,7571.142857142857,1,平季,True
50,9991.714285714286,0,淡季,09-08,09-14,7649.428571428572,1,平季,False
51,12610.142857142857,1,平季,09-15,09-21,7519.428571428572,1,平季,True
52,9352.555555555555,0,淡季,09-22,09-30,7536.0,1,平季,False
