fiscal_week,avg_passenger,fiscal_year,fiscal_label,week_start,week_end,days_in_week
1,16876.85714285714,2023,FY2023-2024,10-01,10-07,7
2,4460.857142857143,2023,FY2023-2024,10-08,10-14,7
3,3468.714285714286,2023,FY2023-2024,10-15,10-21,7
4,8700.857142857143,2023,FY2023-2024,10-22,10-28,7
5,15803.142857142857,2023,FY2023-2024,10-29,11-04,7
6,15597.42857142857,2023,FY2023-2024,11-05,11-11,7
7,15558.42857142857,2023,FY2023-2024,11-12,11-18,7
8,11568.57142857143,2023,FY2023-2024,11-19,11-25,7
9,6182.714285714285,2023,FY2023-2024,11-26,12-02,7
10,6245.0,2023,FY2023-2024,12-03,12-09,7
11,4357.428571428572,2023,FY2023-2024,12-10,12-16,7
12,5747.714285714285,2023,FY2023-2024,12-17,12-23,7
13,6446.428571428572,2023,FY2023-2024,12-24,12-30,7
14,6296.857142857143,2023,FY2023-2024,12-31,01-06,7
15,6883.714285714285,2023,FY2023-2024,01-07,01-13,7
16,6207.571428571428,2023,FY2023-2024,01-14,01-20,7
17,7309.142857142857,2023,FY2023-2024,01-21,01-27,7
18,7261.285714285715,2023,FY2023-2024,01-28,02-03,7
19,5111.428571428572,2023,FY2023-2024,02-04,02-10,7
20,8098.428571428572,2023,FY2023-2024,02-11,02-17,7
21,6026.571428571428,2023,FY2023-2024,02-18,02-24,7
22,6854.142857142857,2023,FY2023-2024,02-25,03-02,7
23,6046.428571428572,2023,FY2023-2024,03-03,03-09,7
24,6876.285714285715,2023,FY2023-2024,03-10,03-16,7
25,7490.285714285715,2023,FY2023-2024,03-17,03-23,7
26,7004.571428571428,2023,FY2023-2024,03-24,03-30,7
27,8761.857142857143,2023,FY2023-2024,03-31,04-06,7
28,7402.142857142857,2023,FY2023-2024,04-07,04-13,7
29,7017.0,2023,FY2023-2024,04-14,04-20,7
30,7226.714285714285,2023,FY2023-2024,04-21,04-27,7
31,17936.14285714286,2023,FY2023-2024,04-28,05-04,7
32,10318.714285714286,2023,FY2023-2024,05-05,05-11,7
33,14816.714285714286,2023,FY2023-2024,05-12,05-18,7
34,14525.0,2023,FY2023-2024,05-19,05-25,7
35,14267.42857142857,2023,FY2023-2024,05-26,06-01,7
36,14715.57142857143,2023,FY2023-2024,06-02,06-08,7
37,16725.14285714286,2023,FY2023-2024,06-09,06-15,7
38,16554.0,2023,FY2023-2024,06-16,06-22,7
39,18200.571428571428,2023,FY2023-2024,06-23,06-29,7
40,20335.285714285714,2023,FY2023-2024,06-30,07-06,7
41,19927.85714285714,2023,FY2023-2024,07-07,07-13,7
42,23892.85714285714,2023,FY2023-2024,07-14,07-20,7
43,23592.571428571428,2023,FY2023-2024,07-21,07-27,7
44,26710.571428571428,2023,FY2023-2024,07-28,08-03,7
45,32389.285714285714,2023,FY2023-2024,08-04,08-10,7
46,33364.857142857145,2023,FY2023-2024,08-11,08-17,7
47,27001.714285714286,2023,FY2023-2024,08-18,08-24,7
48,17156.428571428572,2023,FY2023-2024,08-25,08-31,7
49,12816.57142857143,2023,FY2023-2024,09-01,09-07,7
50,9991.714285714286,2023,FY2023-2024,09-08,09-14,7
51,12610.142857142857,2023,FY2023-2024,09-15,09-21,7
52,9352.555555555555,2023,FY2023-2024,09-22,09-30,8
1,11660.857142857143,2024,FY2024-2025,10-01,10-07,7
2,3744.285714285714,2024,FY2024-2025,10-08,10-14,7
3,3740.4285714285716,2024,FY2024-2025,10-15,10-21,7
4,3320.5714285714284,2024,FY2024-2025,10-22,10-28,7
5,3335.8571428571427,2024,FY2024-2025,10-29,11-04,7
6,3439.714285714286,2024,FY2024-2025,11-05,11-11,7
7,3262.1428571428573,2024,FY2024-2025,11-12,11-18,7
8,2842.5714285714284,2024,FY2024-2025,11-19,11-25,7
9,2782.5714285714284,2024,FY2024-2025,11-26,12-02,7
10,2846.4285714285716,2024,FY2024-2025,12-03,12-09,7
11,2682.5714285714284,2024,FY2024-2025,12-10,12-16,7
12,2591.4285714285716,2024,FY2024-2025,12-17,12-23,7
13,2356.0,2024,FY2024-2025,12-24,12-30,7
14,2409.714285714286,2024,FY2024-2025,12-31,01-06,7
15,2347.285714285714,2024,FY2024-2025,01-07,01-13,7
16,2364.714285714286,2024,FY2024-2025,01-14,01-20,7
17,1777.2857142857142,2024,FY2024-2025,01-21,01-27,7
18,2484.5714285714284,2024,FY2024-2025,01-28,02-03,7
19,2720.5714285714284,2024,FY2024-2025,02-04,02-10,7
20,3067.714285714286,2024,FY2024-2025,02-11,02-17,7
21,3420.0,2024,FY2024-2025,02-18,02-24,7
22,3029.4285714285716,2024,FY2024-2025,02-25,03-03,7
23,3272.5714285714284,2024,FY2024-2025,03-04,03-10,7
24,3498.5714285714284,2024,FY2024-2025,03-11,03-17,7
25,3915.714285714286,2024,FY2024-2025,03-18,03-24,7
26,3952.8571428571427,2024,FY2024-2025,03-25,03-31,7
27,5170.0,2024,FY2024-2025,04-01,04-07,7
28,3392.8571428571427,2024,FY2024-2025,04-08,04-14,7
29,5462.285714285715,2024,FY2024-2025,04-15,04-21,7
30,5612.857142857143,2024,FY2024-2025,04-22,04-28,7
31,12102.0,2024,FY2024-2025,04-29,05-05,7
32,5723.142857142857,2024,FY2024-2025,05-06,05-12,7
33,6387.428571428572,2024,FY2024-2025,05-13,05-19,7
34,6480.285714285715,2024,FY2024-2025,05-20,05-26,7
35,8513.42857142857,2024,FY2024-2025,05-27,06-02,7
36,7683.428571428572,2024,FY2024-2025,06-03,06-09,7
37,7555.142857142857,2024,FY2024-2025,06-10,06-16,7
38,8455.714285714286,2024,FY2024-2025,06-17,06-23,7
39,8748.285714285714,2024,FY2024-2025,06-24,06-30,7
40,10502.857142857143,2024,FY2024-2025,07-01,07-07,7
41,10013.42857142857,2024,FY2024-2025,07-08,07-14,7
42,12443.42857142857,2024,FY2024-2025,07-15,07-21,7
43,11225.142857142857,2024,FY2024-2025,07-22,07-28,7
44,14108.285714285714,2024,FY2024-2025,07-29,08-04,7
45,16584.85714285714,2024,FY2024-2025,08-05,08-11,7
46,16185.714285714286,2024,FY2024-2025,08-12,08-18,7
47,13948.285714285714,2024,FY2024-2025,08-19,08-25,7
48,8756.57142857143,2024,FY2024-2025,08-26,09-01,7
49,7571.142857142857,2024,FY2024-2025,09-02,09-08,7
50,7649.428571428572,2024,FY2024-2025,09-09,09-15,7
51,7519.428571428572,2024,FY2024-2025,09-16,09-22,7
52,7536.0,2024,FY2024-2025,09-23,09-30,9
