id,scenic_name,date,scenery_score,transportation_score,food_score,consumption_score,service_score,n_records,created_at,date_str,passenger_count,temp_high,temp_low,wind_power,humidity,scenery_score_lag1,scenery_score_lag2,scenery_score_lag3,scenery_score_lag7,scenery_score_roll7,transportation_score_lag1,transportation_score_lag2,transportation_score_lag3,transportation_score_lag7,transportation_score_roll7,food_score_lag1,food_score_lag2,food_score_lag3,food_score_lag7,food_score_roll7,consumption_score_lag1,consumption_score_lag2,consumption_score_lag3,consumption_score_lag7,consumption_score_roll7,service_score_lag1,service_score_lag2,service_score_lag3,service_score_lag7,service_score_roll7,source_table,month_sin,month_cos,day_sin,day_cos,is_day_off,weather_cond_int,wind_dir_int
1172,响沙湾,2023-10-01,1.137,0.458,0.688,-0.319,-0.118,940,2025-12-25 16:23:06,20231001,23644,26,7,5.0,44.333333333333336,1.227,1.13,1.242,1.247,1.1969999999999998,0.911,0.815,0.871,0.764,0.8767142857142858,0.761,0.87,0.767,0.681,0.7837142857142857,0.654,0.439,0.145,0.745,0.5577142857142857,0.775,0.862,0.764,0.756,0.852857142857143,history_daily_xsw,-0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,1,3,0
1173,响沙湾,2023-10-02,1.368,0.44,0.889,0.152,0.015,2925,2025-12-25 16:23:06,20231002,23032,17,10,5.0,63.416666666666664,1.137,1.227,1.13,1.13,1.137,0.458,0.911,0.815,0.926,0.458,0.688,0.761,0.87,0.783,0.688,-0.319,0.654,0.439,0.528,-0.319,-0.118,0.775,0.862,0.958,-0.118,history_daily_xsw,-0.8660254037844386,0.5000000000000001,0.0,1.0,1,1,0
1174,响沙湾,2023-10-03,1.417,0.439,0.773,-0.007,0.156,3627,2025-12-25 16:23:06,20231003,27838,23,8,5.0,68.375,1.368,1.137,1.227,1.248,1.2525,0.44,0.458,0.911,0.921,0.449,0.889,0.688,0.761,0.82,0.7885,0.152,-0.319,0.654,0.75,-0.0835,0.015,-0.118,0.775,0.855,-0.0515,history_daily_xsw,-0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,1,3,1
1175,响沙湾,2023-10-04,1.405,0.5,0.615,-0.577,-0.075,3846,2025-12-25 16:23:06,20231004,21582,19,7,5.0,44.291666666666664,1.417,1.368,1.137,1.155,1.3073333333333335,0.439,0.44,0.458,0.929,0.44566666666666666,0.773,0.889,0.688,0.804,0.7833333333333333,-0.007,0.152,-0.319,0.643,-0.058,0.156,0.015,-0.118,1.0,0.017666666666666667,history_daily_xsw,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,1,1,2
1176,响沙湾,2023-10-05,1.406,0.083,0.924,-0.186,0.653,3602,2025-12-25 16:23:06,20231005,12364,17,1,5.0,46.708333333333336,1.405,1.417,1.368,1.242,1.33175,0.5,0.439,0.44,0.871,0.45925,0.615,0.773,0.889,0.767,0.74125,-0.577,-0.007,0.152,0.145,-0.18775,-0.075,0.156,0.015,0.764,-0.005499999999999998,history_daily_xsw,-0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,1,5,0
1177,响沙湾,2023-10-06,1.39,0.222,0.908,0.155,0.578,3702,2025-12-25 16:23:06,20231006,5989,17,6,5.0,60.791666666666664,1.406,1.405,1.417,1.13,1.3466,0.083,0.5,0.439,0.815,0.384,0.924,0.615,0.773,0.87,0.7778,-0.186,-0.577,-0.007,0.439,-0.1874,0.653,-0.075,0.156,0.862,0.1262,history_daily_xsw,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,1,1,4
1178,响沙湾,2023-10-07,0.94,0.367,1.0,0.229,0.048,566,2025-12-25 16:23:06,20231007,3689,18,9,5.0,67.29166666666667,1.39,1.406,1.405,1.227,1.3538333333333332,0.222,0.083,0.5,0.911,0.357,0.908,0.924,0.615,0.761,0.7995,0.155,-0.186,-0.577,0.654,-0.13033333333333333,0.578,0.653,-0.075,0.775,0.2015,history_daily_xsw,-0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,0,3,7
1179,响沙湾,2023-10-08,1.262,0.324,0.771,0.0,0.281,1183,2025-12-25 16:23:06,20231008,4186,15,4,5.0,51.083333333333336,0.94,1.39,1.406,1.137,1.2947142857142857,0.367,0.222,0.083,0.458,0.35842857142857143,1.0,0.908,0.924,0.688,0.8281428571428572,0.229,0.155,-0.186,-0.319,-0.07899999999999999,0.048,0.578,0.653,-0.118,0.17957142857142855,history_daily_xsw,-0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,0,3,6
1180,响沙湾,2023-10-09,1.127,0.314,0.757,-0.119,-0.488,1117,2025-12-25 16:23:06,20231009,4239,17,2,4.0,53.083333333333336,1.262,0.94,1.39,1.368,1.3125714285714285,0.324,0.367,0.222,0.44,0.3392857142857143,0.771,1.0,0.908,0.889,0.8400000000000001,0.0,0.229,0.155,0.152,-0.033428571428571426,0.281,0.048,0.578,0.015,0.2365714285714286,history_daily_xsw,-0.8660254037844386,0.5000000000000001,0.0,1.0,0,3,7
1181,响沙湾,2023-10-10,1.438,0.5,0.714,-0.16,0.535,1385,2025-12-25 16:23:06,20231010,4382,18,2,4.0,49.541666666666664,1.127,1.262,0.94,1.417,1.278142857142857,0.314,0.324,0.367,0.439,0.32128571428571423,0.757,0.771,1.0,0.773,0.8211428571428572,-0.119,0.0,0.229,-0.007,-0.07214285714285715,-0.488,0.281,0.048,0.156,0.16471428571428573,history_daily_xsw,-0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,0,3,0
