id,scenic_name,date,scenery_score,transportation_score,food_score,consumption_score,service_score,n_records,created_at,date_str,passenger_count,temp_high,temp_low,wind_power,humidity,scenery_score_lag1,scenery_score_lag2,scenery_score_lag3,scenery_score_lag7,scenery_score_roll7,transportation_score_lag1,transportation_score_lag2,transportation_score_lag3,transportation_score_lag7,transportation_score_roll7,food_score_lag1,food_score_lag2,food_score_lag3,food_score_lag7,food_score_roll7,consumption_score_lag1,consumption_score_lag2,consumption_score_lag3,consumption_score_lag7,consumption_score_roll7,service_score_lag1,service_score_lag2,service_score_lag3,service_score_lag7,service_score_roll7,source_table,month_sin,month_cos,day_sin,day_cos,is_day_off,weather_cond_int,wind_dir_int
1946,鄂尔多斯草原,2023-10-01,1.22,0.0,0.143,0.3,0.3,295,2025-12-25 16:23:08,20231001,24210,20,0,4.0476190476190474,40.25,1.115,1.218,1.099,1.185,1.1574285714285715,0.75,0.1,-0.316,0.714,0.25099999999999995,0.75,1.053,0.846,0.963,0.865,0.364,0.0,0.5,0.818,0.502,0.385,0.632,0.462,0.636,0.5362857142857143,history_daily_eedscy,-0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,1,3,2
1947,鄂尔多斯草原,2023-10-02,1.403,0.111,0.714,0.19,0.333,670,2025-12-25 16:23:08,20231002,34200,16,1,3.3333333333333335,81.70833333333333,1.22,1.115,1.218,1.226,1.22,0.0,0.75,0.1,0.8,0.0,0.143,0.75,1.053,0.81,0.143,0.3,0.364,0.0,0.818,0.3,0.3,0.385,0.632,0.692,0.3,history_daily_eedscy,-0.8660254037844386,0.5000000000000001,0.0,1.0,1,0,2
1948,鄂尔多斯草原,2023-10-03,1.38,0.143,0.5,0.05,0.722,940,2025-12-25 16:23:08,20231003,42712,20,3,4.5,71.625,1.403,1.22,1.115,1.167,1.3115,0.111,0.0,0.75,-0.2,0.0555,0.714,0.143,0.75,0.8,0.4285,0.19,0.3,0.364,0.3,0.245,0.333,0.3,0.385,0.476,0.3165,history_daily_eedscy,-0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,1,3,4
1949,鄂尔多斯草原,2023-10-04,1.394,0.0,0.75,-0.2,0.455,930,2025-12-25 16:23:08,20231004,42814,17,8,3.857142857142857,42.916666666666664,1.38,1.403,1.22,1.092,1.3343333333333334,0.143,0.111,0.0,-0.091,0.08466666666666667,0.5,0.714,0.143,0.833,0.4523333333333333,0.05,0.19,0.3,0.714,0.18000000000000002,0.722,0.333,0.3,0.471,0.45166666666666666,history_daily_eedscy,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,1,0,1
1950,鄂尔多斯草原,2023-10-05,1.342,0.5,0.867,0.0,0.5,739,2025-12-25 16:23:08,20231005,30779,15,7,3.25,52.416666666666664,1.394,1.38,1.403,1.099,1.34925,0.0,0.143,0.111,-0.316,0.0635,0.75,0.5,0.714,0.846,0.52675,-0.2,0.05,0.19,0.5,0.08499999999999999,0.455,0.722,0.333,0.462,0.4525,history_daily_eedscy,-0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,1,4,0
1951,鄂尔多斯草原,2023-10-06,1.273,0.0,0.7,0.5,0.588,567,2025-12-25 16:23:08,20231006,23093,13,5,2.6,78.25,1.342,1.394,1.38,1.218,1.3477999999999999,0.5,0.0,0.143,0.1,0.1508,0.867,0.75,0.5,1.053,0.5948,0.0,-0.2,0.05,0.0,0.06799999999999999,0.5,0.455,0.722,0.632,0.462,history_daily_eedscy,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,1,0,4
1952,鄂尔多斯草原,2023-10-07,0.842,0.333,0.2,0.0,0.385,111,2025-12-25 16:23:08,20231007,10254,15,3,1.75,78.83333333333333,1.273,1.342,1.394,1.115,1.3353333333333335,0.0,0.5,0.0,0.75,0.12566666666666668,0.7,0.867,0.75,0.75,0.6123333333333333,0.5,0.0,-0.2,0.364,0.13999999999999999,0.588,0.5,0.455,0.385,0.48299999999999993,history_daily_eedscy,-0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,0,3,4
1953,鄂尔多斯草原,2023-10-08,1.174,0.0,0.5,-0.5,0.611,290,2025-12-25 16:23:08,20231008,6736,17,1,3.2,55.166666666666664,0.842,1.273,1.342,1.22,1.2648571428571427,0.333,0.0,0.5,0.0,0.15528571428571428,0.2,0.7,0.867,0.143,0.5534285714285715,0.0,0.5,0.0,0.3,0.12,0.385,0.588,0.5,0.3,0.469,history_daily_eedscy,-0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,0,3,3
1954,鄂尔多斯草原,2023-10-09,1.097,0.0,0.556,0.0,-0.333,150,2025-12-25 16:23:08,20231009,5883,16,0,4.0,51.916666666666664,1.174,0.842,1.273,1.403,1.2582857142857142,0.0,0.333,0.0,0.111,0.15528571428571428,0.5,0.2,0.7,0.714,0.6044285714285714,-0.5,0.0,0.5,0.19,0.0057142857142857195,0.611,0.385,0.588,0.333,0.5134285714285715,history_daily_eedscy,-0.8660254037844386,0.5000000000000001,0.0,1.0,0,3,2
1955,鄂尔多斯草原,2023-10-10,1.081,0.6,0.5,0.267,0.812,278,2025-12-25 16:23:08,20231010,6321,18,4,3.25,47.583333333333336,1.097,1.174,0.842,1.38,1.2145714285714284,0.0,0.0,0.333,0.143,0.13942857142857143,0.556,0.5,0.2,0.5,0.5818571428571427,0.0,-0.5,0.0,0.05,-0.021428571428571432,-0.333,0.611,0.385,0.722,0.41828571428571426,history_daily_eedscy,-0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,0,3,2
